Access	File Name	Cases	Project	Data Category	Data Format	File Size	Annotations
Open	nationwidechildrens.org_clinical.TCGA-A7-A0DC.xml	1	TCGA-BRCA	Clinical	BCR XML	112.17 kB	1
Open	nationwidechildrens.org_clinical.TCGA-A8-A08F.xml	1	TCGA-BRCA	Clinical	BCR XML	84.54 kB	2
Open	nationwidechildrens.org_clinical.TCGA-AO-A0JI.xml	1	TCGA-BRCA	Clinical	BCR XML	95.17 kB	1
Open	nationwidechildrens.org_clinical.TCGA-PL-A8LV.xml	1	TCGA-BRCA	Clinical	BCR XML	59.92 kB	0
Open	nationwidechildrens.org_clinical.TCGA-E9-A247.xml	1	TCGA-BRCA	Clinical	BCR XML	90.05 kB	0
Open	nationwidechildrens.org_clinical.TCGA-EW-A2FW.xml	1	TCGA-BRCA	Clinical	BCR XML	99.36 kB	1
Open	nationwidechildrens.org_clinical.TCGA-AR-A2LL.xml	1	TCGA-BRCA	Clinical	BCR XML	71.09 kB	1
Open	nationwidechildrens.org_clinical.TCGA-D8-A1XU.xml	1	TCGA-BRCA	Clinical	BCR XML	51.09 kB	0
Open	nationwidechildrens.org_clinical.TCGA-E2-A1LE.xml	1	TCGA-BRCA	Clinical	BCR XML	81.71 kB	0
Open	nationwidechildrens.org_clinical.TCGA-AR-A24Q.xml	1	TCGA-BRCA	Clinical	BCR XML	148.16 kB	0
Open	nationwidechildrens.org_clinical.TCGA-OL-A5RY.xml	1	TCGA-BRCA	Clinical	BCR XML	60.55 kB	0
Open	nationwidechildrens.org_clinical.TCGA-D8-A1JJ.xml	1	TCGA-BRCA	Clinical	BCR XML	77.97 kB	0
Open	nationwidechildrens.org_clinical.TCGA-PE-A5DC.xml	1	TCGA-BRCA	Clinical	BCR XML	45.87 kB	0
Open	nationwidechildrens.org_clinical.TCGA-A8-A06P.xml	1	TCGA-BRCA	Clinical	BCR XML	66.39 kB	0
Open	nationwidechildrens.org_clinical.TCGA-AR-A252.xml	1	TCGA-BRCA	Clinical	BCR XML	101.73 kB	0
Open	nationwidechildrens.org_clinical.TCGA-AN-A0FD.xml	1	TCGA-BRCA	Clinical	BCR XML	51.35 kB	0
Open	nationwidechildrens.org_clinical.TCGA-S3-AA11.xml	1	TCGA-BRCA	Clinical	BCR XML	83.84 kB	0
Open	nationwidechildrens.org_clinical.TCGA-E9-A6HE.xml	1	TCGA-BRCA	Clinical	BCR XML	102.98 kB	0
Open	nationwidechildrens.org_clinical.TCGA-A2-A0CR.xml	1	TCGA-BRCA	Clinical	BCR XML	80.67 kB	0
Open	nationwidechildrens.org_clinical.TCGA-AO-A128.xml	1	TCGA-BRCA	Clinical	BCR XML	94.34 kB	0
